evoked?,context,question,source,context_id,question_id,highlight
True,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.","Why should investors care about environment, social, and governance performance metrics?",Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1566168449.a3eaa919e9a8f768180f503a7ad76053.48.12,"environment, social and governance"
True,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",Will that improve investers accuracy and returns?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1566187598.7fddafecbe5312b8134a3cf681f058fc.48.12,"ESG: environment, social and governance"
False,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",Why does governance relate to oversight?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.0,look at performance metrics in what we call ESG
False,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",What do you mean by 'purpose'?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1566163529.f40cff68903e1155502187d762bfe0dc.48.6,"environment, social and governance"
False,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",How is human capital defined?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1565800206.0862df22ab9f349e12cdff2e646fae89.50.0,"ESG: environment, social and governance"
False,"We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff. And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance.",What is the overall meaning?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2002.0,1565670861.b3a353e34ff65fab345d6b11394d96b4.50.0,"ESG: environment, social and governance"
True,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",How is it determined whether or not a company is being responsible re:meeting ESG guidelines?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566050732.b7e55f00e9077b025de2c811b69ae04a.47.15,making efficient uses of resources
True,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",So how do we conserve these things?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566140045.2e2e634c5c7ea1a8fef9471cbe1468e9.47.15,making efficient uses of resources
True,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",What is involved with governance?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.15,governance
True,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",what about the social and governance policies,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566166338.fa33da3b931931a8cb06e33e223a880e.47.15,"environment, social and governance"
False,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",Why does governance relate to oversight?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.0,governance
False,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",what if they fail to invest in a more appropriate bank account,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566166338.fa33da3b931931a8cb06e33e223a880e.47.9,making efficient uses of resources
False,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.", ESG is a measure of?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566052272.655a5eae466e203a765df1f7fda8c703.49.3,making efficient uses of resources
False,"And these things are fundamental, of course, but they're not enough. Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.",Is one more important than the other?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2125.0,1566051814.7e593f20c711d564b39366ebc400033a.49.3,"environment, social and governance"
True,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",How is innovation capacity measured?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566055660.dd555275f18b0a1e3be08584519a8ef5.48.15,innovation capacity
True,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",How does this benefit humans in terms of their basic human rights?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566163529.f40cff68903e1155502187d762bfe0dc.48.15,supply chain management and labor rights and human rights
True,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",Why is human capital important?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566168449.a3eaa919e9a8f768180f503a7ad76053.48.15,human capital
True,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",Are companies very environmentally conscious?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566187598.7fddafecbe5312b8134a3cf681f058fc.48.15,"energy consumption, water availability, waste and pollution"
False,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",Does it help to look at those a lot?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566075845.d7ad6f772a478b8f20136b49827e3f66.49.3,human capital
False,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",How is ESG used?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1565644154.fcc2bb78378e99b452bd11c236f51d45.50.3,supply chain management and labor rights and human rights
False,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.","What should they be looking at, if not financial data and metrics?",Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1566168449.a3eaa919e9a8f768180f503a7ad76053.48.9,"energy consumption, water availability, waste and pollution"
False,"Investors should also look at performance metrics in what we call ESG: environment, social and governance. Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights.",What does ESG stand for?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2283.0,1565647882.e24e9c2d9be24643e97fc61a57775ee7.50.3,supply chain management and labor rights and human rights
True,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",Who monitors a company to make sure they are performing effective internal oversight?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566050732.b7e55f00e9077b025de2c811b69ae04a.47.18,oversight of companies by their boards and investors
True,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",give one example of what environment causes,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566052272.655a5eae466e203a765df1f7fda8c703.49.0,energy consumption
True,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.","SO if earth is like a company, how do we make it efficient like a business?",Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566140045.2e2e634c5c7ea1a8fef9471cbe1468e9.47.18,"Social includes human capital, things like employee engagement and innovation"
True,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",Why is it important that investors look at ESG?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.18,Social includes human capital
True,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",who has more authority over the current issue,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566166338.fa33da3b931931a8cb06e33e223a880e.47.18,governance relates to the oversight
False,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",What are some examples of sustainable outcomes?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566105112.46c2c4e5fd777dcc91bad82da36fe0cc.49.6,Social includes human capital
False,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",What else should investors be looking at?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.12,energy consumption
False,"Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources. Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors.",What are the fundamentals of the earth,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2367.0,1566140045.2e2e634c5c7ea1a8fef9471cbe1468e9.47.12,"Social includes human capital, things like employee engagement and innovation"
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",Why does governance relate to oversight?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.0,governance relates to the oversight
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What is the relevance of all these categories?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565644154.fcc2bb78378e99b452bd11c236f51d45.50.0,I told you this is the really juicy stuff
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What is the purpose of this?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565647882.e24e9c2d9be24643e97fc61a57775ee7.50.0,I told you this is the really juicy stuff
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What is the overall meaning?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565670861.b3a353e34ff65fab345d6b11394d96b4.50.0,I told you this is the really juicy stuff
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",How is human capital defined?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565800206.0862df22ab9f349e12cdff2e646fae89.50.0,human capital
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",Why is this considered juicy information?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566055660.dd555275f18b0a1e3be08584519a8ef5.48.18,this is the really juicy stuff
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",How should boards and investors handle the oversight?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566163529.f40cff68903e1155502187d762bfe0dc.48.18,oversight of companies
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What is the importance of company oversight (governance) for investors? ,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566168449.a3eaa919e9a8f768180f503a7ad76053.48.18,oversight of companies by their boards and investors
True,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",Does the board and investors punish companies for violations?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566187598.7fddafecbe5312b8134a3cf681f058fc.48.18,governance relates to the oversight of companies by their boards
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",Do they think the private sector is not paying attention to ESG?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566075845.d7ad6f772a478b8f20136b49827e3f66.49.6,human capital
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",How do CEOs factor in sustainability?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565644154.fcc2bb78378e99b452bd11c236f51d45.50.6,I told you this is the really juicy stuff
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",how does it limit future risk?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566052272.655a5eae466e203a765df1f7fda8c703.49.6,oversight of companies by their boards and investors
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What does the ESG do?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566055660.dd555275f18b0a1e3be08584519a8ef5.48.12,I told you this is the really juicy stuff
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What is involved with governance?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566153796.3c567fbf11d110d78f374ad8cf32a954.47.15,I told you this is the really juicy stuff
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",What are the CEOs doing?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565647882.e24e9c2d9be24643e97fc61a57775ee7.50.6,I told you this is the really juicy stuff
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",And is it?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566051814.7e593f20c711d564b39366ebc400033a.49.6,oversight of companies by their boards and investors
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",How do we know CEOs are paying attention?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1565800206.0862df22ab9f349e12cdff2e646fae89.50.6,this is the really juicy stuff
False,"Social includes human capital, things like employee engagement and innovation capacity, as well as supply chain management and labor rights and human rights. And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff.",what about the social and governance policies,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2415.0,1566166338.fa33da3b931931a8cb06e33e223a880e.47.15,governance relates to the oversight of companies by their boards
True,"And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff. But ESG is the measure of sustainability, and sustainable investing incorporates ESG factors with financial factors into the investment process.",Is one more important than the other?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2560.0,1566051814.7e593f20c711d564b39366ebc400033a.49.3,incorporates ESG factors with financial factors
True,"And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff. But ESG is the measure of sustainability, and sustainable investing incorporates ESG factors with financial factors into the investment process.", ESG is a measure of?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2560.0,1566052272.655a5eae466e203a765df1f7fda8c703.49.3,sustainability
True,"And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff. But ESG is the measure of sustainability, and sustainable investing incorporates ESG factors with financial factors into the investment process.",Does it help to look at those a lot?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2560.0,1566075845.d7ad6f772a478b8f20136b49827e3f66.49.3,sustainable investing incorporates ESG factors
True,"And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff. But ESG is the measure of sustainability, and sustainable investing incorporates ESG factors with financial factors into the investment process.",Why is sustainable investing important?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2560.0,1566105112.46c2c4e5fd777dcc91bad82da36fe0cc.49.3,incorporates ESG factors with financial factors into the investment process
False,"And governance relates to the oversight of companies by their boards and investors. See, I told you this is the really juicy stuff. But ESG is the measure of sustainability, and sustainable investing incorporates ESG factors with financial factors into the investment process.",How is it determined whether or not a company is being responsible re:meeting ESG guidelines?,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt-2560.0,1566050732.b7e55f00e9077b025de2c811b69ae04a.47.15,incorporates ESG factors with financial factors
